AX,AY,AZ,GX,GY,GZ
0.083572,0.018081,0.031796,-0.158691,0.192261,-1.005554
0.210228,-0.1577,0.080066,-0.169373,0.193787,-0.987244
0.197578,0.153335,0.045557,-0.169373,0.210571,-1.000977
0.086748,0.019058,-0.114767,-0.164795,0.20752,-1.014709
0.099126,-0.083237,-0.164509,-0.166321,0.213623,-0.994873
-0.178419,0.146011,-0.002148,-0.15564,0.210571,-1.014709
-0.12038,0.121841,0.121211,-0.158691,0.196838,-1.008606
-0.149859,0.084731,0.16184,-0.170898,0.201416,-1.011658
-0.158614,0.136733,0.12671,-0.169373,0.212097,-1.008606
-0.211053,0.027603,0.138421,-0.152588,0.210571,-1.008606
-0.174523,-0.021226,0.16435,-0.157166,0.20752,-1.016235
-0.191288,-0.077866,-0.01322,-0.15564,0.204468,-1.004028
-0.2433,-0.121079,-0.042692,-0.14801,0.219727,-0.999451
-0.240775,-0.163071,-0.123213,-0.131226,0.221252,-1.013184
-0.225532,-0.150376,-0.106737,-0.1297,0.212097,-1.014709
-0.207133,-0.115952,-0.134495,-0.111389,0.209045,-1.013184
-0.229458,-0.129868,-0.091887,-0.119019,0.22583,-1.028442
-0.199683,-0.126938,-0.040606,-0.126648,0.20752,-1.013184
-0.213465,-0.125474,0.000595,-0.109863,0.222778,-1.016235
-0.168028,-0.107895,0.031437,-0.102234,0.202942,-1.004028
-0.135843,-0.100083,0.053424,-0.114441,0.20752,-0.997925
-0.156874,-0.116196,0.060586,-0.097656,0.234985,-0.997925
-0.140093,-0.120103,0.044879,-0.120544,0.205994,-0.993347
-0.128991,-0.10521,0.04109,-0.12207,0.215149,-1.010132
-0.11868,-0.097886,0.0355,-0.114441,0.227356,-1.011658
-0.13516,-0.080063,0.047901,-0.105286,0.219727,-1.049805
-0.147239,-0.072251,0.057673,-0.114441,0.196838,-1.020813
-0.122884,-0.04271,0.024652,-0.12207,0.212097,-1.020813
-0.126005,-0.000962,0.016569,-0.108337,0.213623,-1.025391
-0.116539,0.022964,0.014326,-0.128174,0.20752,-1.023865
-0.125184,0.018569,-0.01348,-0.123596,0.196838,-1.037598
-0.119124,0.020767,-0.027615,-0.109863,0.209045,-1.025391
-0.095831,0.010513,-0.035275,-0.108337,0.19989,-1.019287
-0.116982,0.001479,-0.012126,-0.123596,0.204468,-1.028442
-0.129387,-0.006333,0.012336,-0.108337,0.219727,-1.019287
-0.081997,0.011489,0.012168,-0.117493,0.190735,-1.040649
-0.082001,-0.026597,0.032634,-0.123596,0.193787,-1.03302
-0.079269,-0.059067,0.009118,-0.117493,0.187683,-1.019287
-0.070491,-0.038315,0.015244,-0.120544,0.196838,-1.052856
-0.036393,-0.041001,0.024721,-0.117493,0.204468,-1.043701
-0.010461,-0.041489,0.034811,-0.111389,0.18158,-1.040649
-0.005149,-0.035874,0.037039,-0.105286,0.180054,-1.054382
